Timestamp,Trial,Adj_Local_Sway_X,Adj_Local_Sway_Z,Local_Sway_Radius,Local_Sway_Jerk,Orb_Event,Reaction_Time,Movement_Time
22.088,1,-0.0498,0.0373,0.0622,304.9839,None,0.000,0.000
22.116,1,-0.0511,0.0386,0.0640,367.9115,None,0.000,0.000
22.144,1,-0.0502,0.0414,0.0651,226.5062,None,0.000,0.000
22.172,1,-0.0487,0.0421,0.0644,519.0638,None,0.000,0.000
22.199,1,-0.0471,0.0420,0.0631,271.3496,None,0.000,0.000
22.227,1,-0.0450,0.0437,0.0627,509.0382,None,0.000,0.000
22.255,1,-0.0423,0.0449,0.0617,297.7337,None,0.000,0.000
22.283,1,-0.0379,0.0455,0.0592,414.5329,None,0.000,0.000
22.311,1,-0.0338,0.0460,0.0571,430.8587,None,0.000,0.000
22.339,1,-0.0300,0.0467,0.0556,217.2271,None,0.000,0.000
22.367,1,-0.0258,0.0468,0.0535,355.3174,None,0.000,0.000
22.394,1,-0.0214,0.0458,0.0506,70.1500,None,0.000,0.000
22.422,1,-0.0175,0.0446,0.0479,209.2045,None,0.000,0.000
22.455,1,-0.0142,0.0435,0.0458,36.2807,None,0.000,0.000
22.478,1,-0.0109,0.0423,0.0437,99.7897,None,0.000,0.000
22.506,1,-0.0082,0.0410,0.0419,75.0709,None,0.000,0.000
22.534,1,-0.0058,0.0399,0.0403,167.9742,None,0.000,0.000
22.561,1,-0.0039,0.0391,0.0393,59.1649,None,0.000,0.000
22.589,1,-0.0022,0.0385,0.0386,74.3700,None,0.000,0.000
22.617,1,-0.0007,0.0380,0.0380,40.4142,None,0.000,0.000
22.645,1,0.0000,0.0374,0.0374,89.4145,None,0.000,0.000
22.673,1,0.0001,0.0364,0.0364,45.0637,None,0.000,0.000
22.701,1,-0.0002,0.0351,0.0351,62.6162,None,0.000,0.000
22.728,1,-0.0002,0.0348,0.0348,233.1096,None,0.000,0.000
22.756,1,-0.0001,0.0350,0.0350,64.5200,None,0.000,0.000
22.784,1,0.0002,0.0347,0.0347,491.5997,None,0.000,0.000
22.812,1,0.0006,0.0337,0.0337,166.7729,None,0.000,0.000
22.840,1,0.0009,0.0332,0.0332,318.6472,None,0.000,0.000
22.868,1,0.0013,0.0329,0.0329,116.2246,None,0.000,0.000
22.896,1,0.0017,0.0322,0.0322,168.7821,None,0.000,0.000
22.924,1,0.0020,0.0309,0.0310,42.6125,None,0.000,0.000
22.958,1,0.0021,0.0296,0.0297,139.2042,None,0.000,0.000
22.986,1,0.0021,0.0283,0.0284,29.6519,None,0.000,0.000
23.008,1,0.0020,0.0269,0.0270,108.6982,None,0.000,0.000
23.035,1,0.0019,0.0256,0.0257,58.2498,None,0.000,0.000
23.062,1,0.0022,0.0241,0.0241,95.1848,None,0.000,0.000
23.083,1,0.0022,0.0231,0.0232,125.9070,None,0.000,0.000
23.112,1,0.0024,0.0216,0.0217,163.0419,None,0.000,0.000
23.133,1,0.0025,0.0208,0.0209,214.5146,None,0.000,0.000
23.160,1,0.0030,0.0191,0.0193,453.8199,None,0.000,0.000
23.188,1,0.0039,0.0176,0.0181,362.8664,None,0.000,0.000
23.216,1,0.0052,0.0169,0.0177,61.5819,None,0.000,0.000
23.244,1,0.0071,0.0162,0.0177,217.7067,None,0.000,0.000
23.271,1,0.0088,0.0149,0.0173,109.2990,None,0.000,0.000
23.300,1,0.0104,0.0142,0.0176,241.0032,None,0.000,0.000
23.327,1,0.0120,0.0136,0.0181,164.7559,None,0.000,0.000
23.355,1,0.0135,0.0130,0.0187,72.2978,None,0.000,0.000
23.383,1,0.0143,0.0126,0.0191,93.5832,None,0.000,0.000
23.411,1,0.0148,0.0115,0.0188,232.9870,None,0.000,0.000
23.438,1,0.0155,0.0113,0.0192,470.8251,None,0.000,0.000
23.466,1,0.0164,0.0122,0.0204,182.7305,Orb Spawned,0.000,0.000
23.494,1,0.0174,0.0126,0.0215,283.1716,None,0.000,0.000
23.523,1,0.0184,0.0122,0.0221,73.8149,None,0.000,0.000
23.550,1,0.0193,0.0120,0.0227,300.9739,None,0.000,0.000
23.578,1,0.0206,0.0117,0.0236,260.5798,None,0.000,0.000
23.605,1,0.0216,0.0109,0.0242,82.3515,None,0.000,0.000
23.633,1,0.0224,0.0101,0.0245,57.6624,None,0.000,0.000
23.661,1,0.0224,0.0096,0.0244,118.9408,None,0.000,0.000
23.689,1,0.0225,0.0096,0.0245,133.4297,None,0.000,0.000
23.717,1,0.0217,0.0098,0.0238,130.0861,None,0.000,0.000
